;Output Format; Bonnie++ Version; Machine Name; Concurrency Level; Random Number Seed; File Size; Block Writes (K/s); (% cpu); Reading/Rewriting Block (K/s); (% cpu); Block Reads (K/s); (% cpu); Seek (s/s); (% cpu); Block Write Latency (ms); Rewrite Latency (ms); Block Read Latency (ms); Seek Latency (ms)
;1.97;1.97;TEST;1;1459450816;8G;88149;10;21758;6;47470;5;1000;31;4009;11369;11902;175
;1.97;1.97;TEST;1;1459453831;8G;72789;6;32983;5;77413;8;940,2;27;27544;11565;10906;3186
;1.97;1.97;TEST;1;1459452397;8G;73546;7;38005;6;77339;7;1103;35;5024;25956;11947;1697
;1.97;1.97;TEST;1;1459452673;8G;75701;7;30252;6;71017;7;1060;35;5512;10859;9862;168
;1.97;1.97;TEST;1;1459447167;8G;88738;9;32433;10;73999;7;1055;33;4185;21276;10784;2173
;1.97;1.97;TEST;1;1459446918;8G;72541;7;36601;6;74004;7;1004;32;4909;12442;11381;2292
;1.97;1.97;TEST;1;1459445918;8G;78299;7;32597;6;66784;7;1093;34;5541;10699;11237;178
;1.97;1.97;TEST;1;1459449549;8G;75141;7;31529;6;71241;7;907,1;29;6399;11024;11982;169
;1.97;1.97;TEST;1;1459449100;8G;75521;7;33710;6;74052;7;994,8;31;5440;11958;13269;171
;1.97;1.97;TEST;1;1459449032;8G;80327;8;32089;5;73297;7;973,5;31;4428;34282;11390;182
Mean;1.97;1.97;TEST;1;1459449740;8G;78075,2;7,5;32195,7;6,2;70661,6;6,9;1013,06;31,8;7299,1;16143;11466;1039,1
